x,y,V_teorica
0.020100503,0.36683417,0.12022424
0.020100503,0.3718593,0.12373425
0.020100503,0.37688442,0.12729477
0.020100503,0.38190955,0.13090579
0.020100503,0.38693467,0.13456731
0.020100503,0.3919598,0.13827934
0.020100503,0.39698492,0.14204187
0.020100503,0.40201005,0.1458549
0.020100503,0.40703518,0.14971844
0.020100503,0.4120603,0.15363248
0.020100503,0.41708543,0.15759703
0.020100503,0.42211055,0.16161208
0.020100503,0.42713568,0.16567763
0.020100503,0.4321608,0.16979369
0.020100503,0.43718593,0.17396025
0.020100503,0.44221106,0.17817732
0.020100503,0.44723618,0.18244489
0.020100503,0.45226131,0.18676296
0.020100503,0.45728643,0.19113154
0.020100503,0.46231156,0.19555062
0.020100503,0.46733668,0.2000202
0.020100503,0.47236181,0.20454029
0.020100503,0.47738693,0.20911088
0.020100503,0.48241206,0.21373198
0.020100503,0.48743719,0.21840358
0.020100503,0.49246231,0.22312568
0.020100503,0.49748744,0.22789829
0.020100503,0.50251256,0.2327214
0.020100503,0.50753769,0.23759501
0.020100503,0.51256281,0.24251913
0.020100503,0.51758794,0.24749375
0.020100503,0.52261307,0.25251888
0.020100503,0.52763819,0.25759451
0.020100503,0.53266332,0.26272064
0.020100503,0.53768844,0.26789728
0.020100503,0.54271357,0.27312442
0.020100503,0.54773869,0.27840206
0.020100503,0.55276382,0.28373021
0.020100503,0.55778894,0.28910886
0.020100503,0.56281407,0.29453802
0.020100503,0.5678392,0.30001768
0.020100503,0.57286432,0.30554784
0.020100503,0.57788945,0.31112851
0.020100503,0.58291457,0.31675968
0.020100503,0.5879397,0.32244135
0.020100503,0.59296482,0.32817353
0.020100503,0.59798995,0.33395621
0.020100503,0.60301508,0.3397894
0.020100503,0.6080402,0.34567309
0.020100503,0.61306533,0.35160728
0.020100503,0.61809045,0.35759198
0.020100503,0.62311558,0.36362718
0.020100503,0.6281407,0.36971289
0.020100503,0.63316583,0.37584909
0.020100503,0.63819095,0.38203581
0.020100503,0.64321608,0.38827302
0.020100503,0.64824121,0.39456074
0.020100503,0.65326633,0.40089897
0.020100503,0.65829146,0.40728769
0.020100503,0.66331658,0.41372693
0.020100503,0.66834171,0.42021666
