x,y,V,Exact,Error
0.88,0.12,-0.237037,-0.237242,0.000205697
0.92,0.12,-0.149717,-0.149893,0.000176234
0.96,0.12,-0.0659885,-0.0661398,0.000151329
1,0.12,0.0144275,0.0142973,0.000130175
1.04,0.12,0.0917793,0.0916672,0.000112127
1.08,0.12,0.166289,0.166192,9.66728e-05
1.12,0.12,0.238155,0.238072,8.33953e-05
1.16,0.12,0.307557,0.307485,7.19556e-05
1.2,0.12,0.374656,0.374593,6.20751e-05
1.24,0.12,0.439598,0.439544,5.3523e-05
1.28,0.12,0.502517,0.502471,4.61072e-05
1.32,0.12,0.563534,0.563494,3.96663e-05
1.36,0.12,0.622759,0.622725,3.40642e-05
1.4,0.12,0.680294,0.680265,2.91854e-05
1.44,0.12,0.736232,0.736207,2.49318e-05
1.48,0.12,0.790658,0.790637,2.12191e-05
1.52,0.12,0.843652,0.843634,1.79752e-05
1.56,0.12,0.895287,0.895271,1.51379e-05
1.6,0.12,0.945629,0.945616,1.26536e-05
1.64,0.12,0.994743,0.994732,1.04761e-05
1.68,0.12,1.04269,1.04268,8.56567e-06
1.72,0.12,1.08951,1.0895,6.88844e-06
1.76,0.12,1.13527,1.13527,5.41582e-06
1.8,0.12,1.18001,1.18001,4.12448e-06
1.84,0.12,1.22378,1.22378,2.99644e-06
1.88,0.12,1.26661,1.26661,2.01981e-06
1.92,0.12,1.30855,1.30855,1.18996e-06
1.96,0.12,1.34963,1.34963,5.11484e-07
2,0.12,1.38989,1.38989,0
0,0.14,-3.93223,-3.93223,0
0.04,0.14,-3.84164,-3.85375,0.0121106
0.08,0.14,-3.63102,-3.64966,0.0186389
0.12,0.14,-3.36368,-3.38139,0.0177138
0.16,0.14,-3.08265,-3.09666,0.0140063
0.2,0.14,-2.80975,-2.8201,0.0103479
0.24,0.14,-2.55384,-2.56136,0.00751985
0.28,0.14,-2.31729,-2.32279,0.00549796
0.32,0.14,-2.09965,-2.10373,0.00408104
0.36,0.14,-1.89938,-1.90247,0.00308406
0.4,0.14,-1.71465,-1.71702,0.00237261
0.44,0.14,-1.54367,-1.54552,0.00185578
0.48,0.14,-1.38482,-1.38629,0.00147329
0.52,0.14,-1.23669,-1.23787,0.00118507
0.56,0.14,-1.09805,-1.09901,0.000964208
0.6,0.14,-0.967845,-0.968637,0.000792338
0.64,0.14,-0.845176,-0.845832,0.000656714
0.68,0.14,-0.729263,-0.729811,0.00054834
0.72,0.14,-0.619436,-0.619897,0.000460762
0.76,0.14,-0.515114,-0.515503,0.000389274
0.8,0.14,-0.415791,-0.416122,0.000330398
0.84,0.14,-0.321026,-0.321308,0.00028152
0.88,0.14,-0.230431,-0.230672,0.000240658
0.92,0.14,-0.143664,-0.14387,0.000206284
0.96,0.14,-0.0604224,-0.0605996,0.000177209
1,0.14,0.0195629,0.0194104,0.000152497
1.04,0.14,0.0965319,0.0964005,0.000131405
1.08,0.14,0.1707,0.170586,0.000113336
1.12,0.14,0.242259,0.242162,9.7807e-05
1.16,0.14,0.311385,0.311301,8.4424e-05
1.2,0.14,0.378235,0.378162,7.28623e-05
1.24,0.14,0.442952,0.442889,6.2853e-05
1.28,0.14,0.505666,0.505612,5.41719e-05
1.32,0.14,0.566496,0.56645,4.66306e-05
1.36,0.14,0.625551,0.625511,4.00703e-05
1.4,0.14,0.682929,0.682895,3.43562e-05
1.44,0.14,0.738723,0.738694,2.93734e-05
1.48,0.14,0.793018,0.792993,2.50235e-05
1.52,0.14,0.845889,0.845868,2.1222e-05
1.56,0.14,0.897411,0.897393,1.78963e-05
1.6,0.14,0.947649,0.947634,1.49835e-05
1.64,0.14,0.996666,0.996653,1.24296e-05
1.68,0.14,1.04452,1.04451,1.0188e-05
1.72,0.14,1.09126,1.09125,8.21873e-06
1.76,0.14,1.13694,1.13694,6.48803e-06
1.8,0.14,1.18161,1.1816,4.96802e-06
1.84,0.14,1.22531,1.2253,3.6367e-06
1.88,0.14,1.26808,1.26807,2.47844e-06
1.92,0.14,1.30995,1.30995,1.48478e-06
1.96,0.14,1.35098,1.35098,6.55623e-07
2,0.14,1.39118,1.39118,0
0,0.16,-3.66516,-3.66516,0
0.04,0.16,-3.59602,-3.60454,0.00852057
0.08,0.16,-3.42769,-3.44202,0.0143262
0.12,0.16,-3.20391,-3.21888,0.0149687
0.16,0.16,-2.9592,-2.97202,0.0128115
0.2,0.16,-2.71413,-2.72418,0.0100527
0.24,0.16,-2.47887,-2.48651,0.00763324
0.28,0.16,-2.2576,-2.26336,0.0057594
0.32,0.16,-2.05135,-2.05573,0.00437256
0.36,0.16,-1.85968,-1.86304,0.00335847
0.4,0.16,-1.68155,-1.68416,0.00261445
0.44,0.16,-1.51571,-1.51777,0.00206286
0.48,0.16,-1.36093,-1.36258,0.0016484
0.52,0.16,-1.21606,-1.2174,0.0013325
0.56,0.16,-1.08008,-1.08117,0.00108829
0.6,0.16,-0.952058,-0.952955,0.000896944
0.64,0.16,-0.831204,-0.83195,0.000745146
0.68,0.16,-0.716817,-0.71744,0.000623332
0.72,0.16,-0.608281,-0.608806,0.000524559
0.76,0.16,-0.505063,-0.505506,0.000443714
0.8,0.16,-0.406689,-0.407066,0.000376984
0.84,0.16,-0.312747,-0.313068,0.000321487
0.88,0.16,-0.222869,-0.223144,0.000275023
0.92,0.16,-0.13673,-0.136966,0.000235888
0.96,0.16,-0.0540423,-0.054245,0.000202753
1,0.16,0.0254524,0.0252778,0.000174568
1.04,0.16,0.101985,0.101834,0.000150494
1.08,0.16,0.175762,0.175633,0.000129859
1.12,0.16,0.246972,0.24686,0.000112116
1.16,0.16,0.315783,0.315686,9.6818e-05
1.2,0.16,0.382348,0.382265,8.35973e-05
1.24,0.16,0.446807,0.446735,7.21482e-05
1.28,0.16,0.509287,0.509224,6.22154e-05
1.32,0.16,0.569903,0.569849,5.35847e-05
1.36,0.16,0.628761,0.628715,4.6075e-05
1.4,0.16,0.685961,0.685921,3.95324e-05
1.44,0.16,0.74159,0.741556,3.38259e-05
1.48,0.16,0.795733,0.795704,2.88431e-05
1.52,0.16,0.848465,0.84844,2.44875e-05
1.56,0.16,0.899857,0.899836,2.0676e-05
1.6,0.16,0.949975,0.949958,1.73368e-05
1.64,0.16,0.99888,0.998866,1.44079e-05
1.68,0.16,1.04663,1.04662,1.18359e-05
1.72,0.16,1.09327,1.09326,9.57488e-06
1.76,0.16,1.13887,1.13886,7.5858e-06
1.8,0.16,1.18345,1.18344,5.83609e-06
1.84,0.16,1.22707,1.22706,4.29954e-06
1.88,0.16,1.26976,1.26976,2.95648e-06
1.92,0.16,1.31157,1.31157,1.79427e-06
1.96,0.16,1.35253,1.35253,8.0788e-07
2,0.16,1.39267,1.39267,0
0,0.18,-3.4296,-3.4296,0
0.04,0.18,-3.37519,-3.38139,0.00620796
0.08,0.18,-3.23823,-3.24934,0.0111032
0.12,0.18,-3.04936,-3.06187,0.0125095
0.16,0.18,-2.83585,-2.84731,0.0114619
0.2,0.18,-2.61605,-2.62555,0.00950333
0.24,0.18,-2.40042,-2.40795,0.00752783
