x,y,V,Exact,Error,Boundary
0.8,0.12,-0.424084,-0.424036,-4.73107e-05,0
0.84,0.12,-0.328554,-0.328504,-4.99789e-05,0
0.88,0.12,-0.237294,-0.237242,-5.15648e-05,0
0.92,0.12,-0.149945,-0.149893,-5.2354e-05,0
0.96,0.12,-0.0661924,-0.0661398,-5.2555e-05,0
1,0.12,0.014245,0.0142973,-5.23215e-05,0
1.04,0.12,0.0916154,0.0916672,-5.17675e-05,0
1.08,0.12,0.166141,0.166192,-5.09783e-05,0
1.12,0.12,0.238022,0.238072,-5.00185e-05,0
1.16,0.12,0.307436,0.307485,-4.8937e-05,0
1.2,0.12,0.374546,0.374593,-4.77712e-05,0
1.24,0.12,0.439498,0.439544,-4.65498e-05,0
1.28,0.12,0.502426,0.502471,-4.5295e-05,0
1.32,0.12,0.56345,0.563494,-4.4024e-05,0
1.36,0.12,0.622682,0.622725,-4.27501e-05,0
1.4,0.12,0.680223,0.680265,-4.14835e-05,0
1.44,0.12,0.736166,0.736207,-4.02324e-05,0
1.48,0.12,0.790598,0.790637,-3.9003e-05,0
1.52,0.12,0.843596,0.843634,-3.78e-05,0
1.56,0.12,0.895235,0.895271,-3.66271e-05,0
1.6,0.12,0.945581,0.945616,-3.5487e-05,0
1.64,0.12,0.994698,0.994732,-3.43816e-05,0
1.68,0.12,1.04264,1.04268,-3.33124e-05,0
1.72,0.12,1.08947,1.0895,-3.22798e-05,0
1.76,0.12,1.13523,1.13527,-3.12842e-05,0
1.8,0.12,1.17998,1.18001,-3.0325e-05,0
1.84,0.12,1.22375,1.22378,-2.94011e-05,0
1.88,0.12,1.26658,1.26661,-2.85102e-05,0
1.92,0.12,1.30852,1.30855,-2.76489e-05,0
1.96,0.12,1.3496,1.34963,-2.68118e-05,0
2,0.12,5.53329,1.38989,4.1434,1
0,0.14,-15.7993,-3.93223,-11.8671,1
0.04,0.14,-3.84359,-3.85375,0.0101624,0
0.08,0.14,-3.6392,-3.64966,0.0104618,0
0.12,0.14,-3.37319,-3.38139,0.00820616,0
0.16,0.14,-3.09099,-3.09666,0.00566931,0
0.2,0.14,-2.81636,-2.8201,0.00373644,0
0.24,0.14,-2.55891,-2.56136,0.00244093,0
0.28,0.14,-2.32118,-2.32279,0.00160601,0
0.32,0.14,-2.10266,-2.10373,0.0010694,0
0.36,0.14,-1.90175,-1.90247,0.000720216,0
0.4,0.14,-1.71653,-1.71702,0.000488881,0
0.44,0.14,-1.54519,-1.54552,0.000332657,0
0.48,0.14,-1.38607,-1.38629,0.000225196,0
0.52,0.14,-1.23772,-1.23787,0.000150029,0
0.56,0.14,-1.09892,-1.09901,9.66699e-05,0
0.6,0.14,-0.968579,-0.968637,5.83138e-05,0
